"ent_mun","indicador","2015","2016"
"09014","analfabeta",0.56,NA
"15020","analfabeta",0.97,NA
"19006","analfabeta",1.11,NA
"09016","analfabeta",1.21,NA
"19046","analfabeta",1.23,NA
"20350","analfabeta",1.25,NA
"26019","analfabeta",1.29,NA
"26024","analfabeta",1.35,NA
"08019","analfabeta",1.38,NA
"15024","analfabeta",1.43,NA
"09015","analfabeta",1.44,NA
"19019","analfabeta",1.45,NA
"26039","analfabeta",1.47,NA
"19025","analfabeta",1.5,NA
"26043","analfabeta",1.54,NA
"09003","analfabeta",1.55,NA
"09017","analfabeta",1.58,NA
"15121","analfabeta",1.61,NA
"09002","analfabeta",1.63,NA
"19031","analfabeta",1.63,NA
"05018","analfabeta",1.66,NA
"15044","analfabeta",1.7,NA
"05035","analfabeta",1.78,NA
"09006","analfabeta",1.79,NA
"08054","analfabeta",1.8,NA
"26058","analfabeta",1.84,NA
"29033","analfabeta",1.84,NA
"15054","analfabeta",1.85,NA
"28009","analfabeta",1.86,NA
"13051","analfabeta",1.89,NA
"08037","analfabeta",1.91,NA
"20293","analfabeta",1.91,NA
"19026","analfabeta",1.92,NA
"26041","analfabeta",1.94,NA
"15081","analfabeta",1.96,NA
"06010","analfabeta",1.98,NA
"20035","analfabeta",2,NA
"19021","analfabeta",2.02,NA
"19018","analfabeta",2.03,NA
"26002","analfabeta",2.05,NA
"26038","analfabeta",2.05,NA
"05032","analfabeta",2.06,NA
"26046","analfabeta",2.06,NA
"28038","analfabeta",2.08,NA
"20063","analfabeta",2.1,NA
"02004","analfabeta",2.11,NA
"14039","analfabeta",2.11,NA
"26030","analfabeta",2.11,NA
"15027","analfabeta",2.12,NA
"26036","analfabeta",2.13,NA
"05030","analfabeta",2.14,NA
"15109","analfabeta",2.14,NA
"32056","analfabeta",2.14,NA
"05025","analfabeta",2.15,NA
"08050","analfabeta",2.16,NA
"09005","analfabeta",2.17,NA
"10005","analfabeta",2.17,NA
"26023","analfabeta",2.17,NA
"09010","analfabeta",2.19,NA
"20247","analfabeta",2.19,NA
"09012","analfabeta",2.25,NA
"26059","analfabeta",2.25,NA
"19012","analfabeta",2.26,NA
"20267","analfabeta",2.28,NA
"14120","analfabeta",2.3,NA
"19048","analfabeta",2.3,NA
"02002","analfabeta",2.31,NA
"08017","analfabeta",2.31,NA
